#Term,Database,ID,Input number,Background number,P-Value,Corrected P-Value
regulation of neuron death,Gene Ontology,GO:1901214,2,189,0.190493626,0.382100649
immune system process,Gene Ontology,GO:0002376,12,2129,0.19163953,0.382100649
cell chemotaxis,Gene Ontology,GO:0060326,2,190,0.191999572,0.382100649
SH3/SH2 adaptor activity,Gene Ontology,GO:0005070,1,50,0.192367913,0.382100649
mesenchymal cell proliferation,Gene Ontology,GO:0010463,1,50,0.192367913,0.382100649
interleukin-2 production,Gene Ontology,GO:0032623,1,50,0.192367913,0.382100649
positive regulation of axonogenesis,Gene Ontology,GO:0050772,1,50,0.192367913,0.382100649
ovarian follicle development,Gene Ontology,GO:0001541,1,50,0.192367913,0.382100649
neuroblast proliferation,Gene Ontology,GO:0007405,1,50,0.192367913,0.382100649
cell division,Gene Ontology,GO:0051301,5,727,0.194547196,0.386135499
positive regulation of developmental growth,Gene Ontology,GO:0048639,1,51,0.195744214,0.387167708
negative regulation of neuron differentiation,Gene Ontology,GO:0045665,1,51,0.195744214,0.387167708
nephron epithelium development,Gene Ontology,GO:0072009,1,51,0.195744214,0.387167708
bone resorption,Gene Ontology,GO:0045453,1,51,0.195744214,0.387167708
cognition,Gene Ontology,GO:0050890,2,194,0.198038539,0.390688274
respiratory system development,Gene Ontology,GO:0060541,2,194,0.198038539,0.390688274
positive regulation of cellular metabolic process,Gene Ontology,GO:0031325,12,2146,0.19852161,0.391345469
regulation of receptor-mediated endocytosis,Gene Ontology,GO:0048259,1,52,0.199106403,0.391610936
adenylate cyclase-activating G-protein coupled receptor signaling pathway,Gene Ontology,GO:0007189,1,52,0.199106403,0.391610936
positive regulation of endothelial cell migration,Gene Ontology,GO:0010595,1,52,0.199106403,0.391610936
regulation of cysteine-type endopeptidase activity,Gene Ontology,GO:2000116,2,195,0.199551881,0.392041437
regulation of leukocyte activation,Gene Ontology,GO:0002694,3,365,0.20058556,0.393334569
regulation of protein ubiquitination,Gene Ontology,GO:0031396,2,196,0.201066587,0.393391149
cellular process involved in reproduction in multicellular organism,Gene Ontology,GO:0022412,2,196,0.201066587,0.393391149
regulation of leukocyte differentiation,Gene Ontology,GO:1902105,2,196,0.201066587,0.393391149
response to hormone,Gene Ontology,GO:0009725,5,737,0.201764747,0.393408212
regulation of cartilage development,Gene Ontology,GO:0061035,1,53,0.202454538,0.393408212
regulation of tyrosine phosphorylation of STAT protein,Gene Ontology,GO:0042509,1,53,0.202454538,0.393408212
digestive tract morphogenesis,Gene Ontology,GO:0048546,1,53,0.202454538,0.393408212
glomerulus development,Gene Ontology,GO:0032835,1,53,0.202454538,0.393408212
kidney morphogenesis,Gene Ontology,GO:0060993,1,53,0.202454538,0.393408212
neuron apoptotic process,Gene Ontology,GO:0051402,2,197,0.202582619,0.393408212
homeostasis of number of cells,Gene Ontology,GO:0048872,2,197,0.202582619,0.393408212
inflammatory response,Gene Ontology,GO:0006954,4,550,0.203580029,0.395051209
'de novo' protein folding,Gene Ontology,GO:0006458,1,54,0.205788679,0.396097678
filopodium assembly,Gene Ontology,GO:0046847,1,54,0.205788679,0.396097678
transcription from RNA polymerase III promoter,Gene Ontology,GO:0006383,1,54,0.205788679,0.396097678
cellular response to retinoic acid,Gene Ontology,GO:0071300,1,54,0.205788679,0.396097678
core promoter proximal region sequence-specific DNA binding,Gene Ontology,GO:0000987,1,54,0.205788679,0.396097678
collagen binding,Gene Ontology,GO:0005518,1,54,0.205788679,0.396097678
mammary gland morphogenesis,Gene Ontology,GO:0060443,1,54,0.205788679,0.396097678
regulation of actin filament bundle assembly,Gene Ontology,GO:0032231,1,54,0.205788679,0.396097678
outflow tract morphogenesis,Gene Ontology,GO:0003151,1,54,0.205788679,0.396097678
positive regulation of DNA replication,Gene Ontology,GO:0045740,1,54,0.205788679,0.396097678
cytokine-mediated signaling pathway,Gene Ontology,GO:0019221,3,371,0.206994245,0.397538617
arachidonic acid metabolic process,Gene Ontology,GO:0019369,1,55,0.209108883,0.40071526
cardiac muscle tissue morphogenesis,Gene Ontology,GO:0055008,1,55,0.209108883,0.40071526
regulation of smoothened signaling pathway,Gene Ontology,GO:0008589,1,55,0.209108883,0.40071526
regulation of growth,Gene Ontology,GO:0040008,4,560,0.212186666,0.404528016
negative regulation of lymphocyte proliferation,Gene Ontology,GO:0050672,1,56,0.212415209,0.404528016
actomyosin,Gene Ontology,GO:0042641,1,56,0.212415209,0.404528016
core promoter proximal region DNA binding,Gene Ontology,GO:0001159,1,56,0.212415209,0.404528016
regulation of neural precursor cell proliferation,Gene Ontology,GO:2000177,1,56,0.212415209,0.404528016
negative regulation of mononuclear cell proliferation,Gene Ontology,GO:0032945,1,56,0.212415209,0.404528016
regulation of phosphate metabolic process,Gene Ontology,GO:0019220,9,1555,0.21251928,0.404528016
regulation of cell cycle,Gene Ontology,GO:0051726,5,752,0.212755528,0.404528016
striated muscle cell differentiation,Gene Ontology,GO:0051146,2,205,0.214754159,0.405617533
positive regulation of transcription from RNA polymerase II promoter,Gene Ontology,GO:0045944,5,755,0.214976294,0.405617533
positive regulation of osteoblast differentiation,Gene Ontology,GO:0045669,1,57,0.215707715,0.405617533
activation of MAPKK activity,Gene Ontology,GO:0000186,1,57,0.215707715,0.405617533
positive regulation of translation,Gene Ontology,GO:0045727,1,57,0.215707715,0.405617533
protein deacetylation,Gene Ontology,GO:0006476,1,57,0.215707715,0.405617533
unsaturated fatty acid biosynthetic process,Gene Ontology,GO:0006636,1,57,0.215707715,0.405617533
stress fiber assembly,Gene Ontology,GO:0043149,1,57,0.215707715,0.405617533
positive regulation of JNK cascade,Gene Ontology,GO:0046330,1,57,0.215707715,0.405617533
reproduction,Gene Ontology,GO:0000003,7,1155,0.216903855,0.407311609
regulation of response to stimulus,Gene Ontology,GO:0048583,15,2831,0.218206498,0.40814066
positive regulation of cellular biosynthetic process,Gene Ontology,GO:0031328,8,1361,0.218412809,0.40814066
positive regulation of JUN kinase activity,Gene Ontology,GO:0043507,1,58,0.218986459,0.40814066
positive regulation of T cell differentiation,Gene Ontology,GO:0045582,1,58,0.218986459,0.40814066
peptidyl-threonine phosphorylation,Gene Ontology,GO:0018107,1,58,0.218986459,0.40814066
positive regulation of JAK-STAT cascade,Gene Ontology,GO:0046427,1,58,0.218986459,0.40814066
positive regulation of leukocyte chemotaxis,Gene Ontology,GO:0002690,1,58,0.218986459,0.40814066
regulation of phosphorus metabolic process,Gene Ontology,GO:0051174,9,1568,0.2190824,0.40814066
cellular response to transforming growth factor beta stimulus,Gene Ontology,GO:0071560,2,208,0.219335941,0.408321544
response to transforming growth factor beta,Gene Ontology,GO:0071559,2,209,0.220865036,0.410290208
intracellular protein transport,Gene Ontology,GO:0006886,5,764,0.221681736,0.411401708
secretory granule membrane,Gene Ontology,GO:0030667,1,59,0.222251497,0.411401708
tyrosine phosphorylation of STAT protein,Gene Ontology,GO:0007260,1,59,0.222251497,0.411401708
negative regulation of leukocyte proliferation,Gene Ontology,GO:0070664,1,59,0.222251497,0.411401708
tetrapyrrole metabolic process,Gene Ontology,GO:0033013,1,59,0.222251497,0.411401708
peptidyl-amino acid modification,Gene Ontology,GO:0018193,5,767,0.223930878,0.414216577
positive regulation of cell differentiation,Gene Ontology,GO:0045597,4,574,0.224400948,0.41479212
negative regulation of biological process,Gene Ontology,GO:0048519,18,3496,0.224826194,0.415284053
protein deacylation,Gene Ontology,GO:0035601,1,60,0.225502889,0.415358179
regulation of synapse organization,Gene Ontology,GO:0050807,1,60,0.225502889,0.415358179
hormone biosynthetic process,Gene Ontology,GO:0042446,1,60,0.225502889,0.415358179
regulation of extent of cell growth,Gene Ontology,GO:0061387,1,60,0.225502889,0.415358179
regulation of transport,Gene Ontology,GO:0051049,7,1172,0.227078866,0.417671487
kinase activity,Gene Ontology,GO:0016301,5,772,0.227694509,0.417828296
actomyosin structure organization,Gene Ontology,GO:0031032,1,61,0.22874069,0.417828296
regulation of alpha-beta T cell activation,Gene Ontology,GO:0046634,1,61,0.22874069,0.417828296
platelet alpha granule,Gene Ontology,GO:0031091,1,61,0.22874069,0.417828296
cortical cytoskeleton,Gene Ontology,GO:0030863,1,61,0.22874069,0.417828296
cardiac ventricle morphogenesis,Gene Ontology,GO:0003208,1,61,0.22874069,0.417828296
cellular response to hydrogen peroxide,Gene Ontology,GO:0070301,1,61,0.22874069,0.417828296
muscle tissue morphogenesis,Gene Ontology,GO:0060415,1,61,0.22874069,0.417828296
chemokine production,Gene Ontology,GO:0032602,1,61,0.22874069,0.417828296
regulation of small GTPase mediated signal transduction,Gene Ontology,GO:0051056,3,393,0.230857697,0.420436484
positive regulation of biosynthetic process,Gene Ontology,GO:0009891,8,1384,0.231109619,0.420436484
receptor internalization,Gene Ontology,GO:0031623,1,62,0.231964957,0.420436484
androgen receptor signaling pathway,Gene Ontology,GO:0030521,1,62,0.231964957,0.420436484
Rho GTPase binding,Gene Ontology,GO:0017048,1,62,0.231964957,0.420436484
central nervous system neuron development,Gene Ontology,GO:0021954,1,62,0.231964957,0.420436484
peptidyl-threonine modification,Gene Ontology,GO:0018210,1,62,0.231964957,0.420436484
positive regulation of stem cell proliferation,Gene Ontology,GO:2000648,1,62,0.231964957,0.420436484
lymphocyte apoptotic process,Gene Ontology,GO:0070227,1,62,0.231964957,0.420436484
regulation of cell activation,Gene Ontology,GO:0050865,3,395,0.23305227,0.421821376
positive regulation of biological process,Gene Ontology,GO:0048518,20,3958,0.233610758,0.422151465
lymphocyte proliferation,Gene Ontology,GO:0046651,2,218,0.234661569,0.422151787
regulation of cellular component size,Gene Ontology,GO:0032535,2,218,0.234661569,0.422151787
glycolysis,Gene Ontology,GO:0006096,1,63,0.235175747,0.422151787
protease binding,Gene Ontology,GO:0002020,1,63,0.235175747,0.422151787
myosin complex,Gene Ontology,GO:0016459,1,63,0.235175747,0.422151787
actin cytoskeleton reorganization,Gene Ontology,GO:0031532,1,63,0.235175747,0.422151787
secretory granule lumen,Gene Ontology,GO:0034774,1,63,0.235175747,0.422151787
regulation of acute inflammatory response,Gene Ontology,GO:0002673,1,63,0.235175747,0.422151787
stress-activated MAPK cascade,Gene Ontology,GO:0051403,2,219,0.236197769,0.423694967
mononuclear cell proliferation,Gene Ontology,GO:0032943,2,220,0.237734501,0.425258942
phosphate-containing compound metabolic process,Gene Ontology,GO:0006796,15,2884,0.23831636,0.425258942
monosaccharide binding,Gene Ontology,GO:0048029,1,64,0.238373116,0.425258942
sphingolipid biosynthetic process,Gene Ontology,GO:0030148,1,64,0.238373116,0.425258942
SMAD binding,Gene Ontology,GO:0046332,1,64,0.238373116,0.425258942
regulation of synapse structure and activity,Gene Ontology,GO:0050803,1,64,0.238373116,0.425258942
endothelial cell differentiation,Gene Ontology,GO:0045446,1,64,0.238373116,0.425258942
protein kinase activity,Gene Ontology,GO:0004672,4,590,0.238573273,0.425325303
stress-activated protein kinase signaling cascade,Gene Ontology,GO:0031098,2,221,0.239271735,0.425988559
neuron death,Gene Ontology,GO:0070997,2,221,0.239271735,0.425988559
positive regulation of cellular process,Gene Ontology,GO:0048522,18,3540,0.239966076,0.426887673
muscle fiber development,Gene Ontology,GO:0048747,1,65,0.24155712,0.426887673
cellular response to mechanical stimulus,Gene Ontology,GO:0071260,1,65,0.24155712,0.426887673
cardiac septum development,Gene Ontology,GO:0003279,1,65,0.24155712,0.426887673
neuron fate commitment,Gene Ontology,GO:0048663,1,65,0.24155712,0.426887673
connective tissue development,Gene Ontology,GO:0061448,2,223,0.242347582,0.427672204
regulation of Ras GTPase activity,Gene Ontology,GO:0032318,2,223,0.242347582,0.427672204
regulation of cell morphogenesis involved in differentiation,Gene Ontology,GO:0010769,2,224,0.243886135,0.429838223
ruffle membrane,Gene Ontology,GO:0032587,1,66,0.244727816,0.429838223
ribonucleoprotein complex binding,Gene Ontology,GO:0043021,1,66,0.244727816,0.429838223
positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,Gene Ontology,GO:0090100,1,66,0.244727816,0.429838223
steroid hormone receptor binding,Gene Ontology,GO:0035258,1,66,0.244727816,0.429838223
signaling adaptor activity,Gene Ontology,GO:0035591,1,66,0.244727816,0.429838223
blastocyst development,Gene Ontology,GO:0001824,1,66,0.244727816,0.429838223
positive regulation of molecular function,Gene Ontology,GO:0044093,7,1204,0.246655857,0.432351771
positive regulation of lymphocyte activation,Gene Ontology,GO:0051251,2,226,0.246964346,0.432601975
natural killer cell activation,Gene Ontology,GO:0030101,1,67,0.247885258,0.433043576
negative regulation of G-protein coupled receptor protein signaling pathway,Gene Ontology,GO:0045744,1,67,0.247885258,0.433043576
single-organism catabolic process,Gene Ontology,GO:0044712,8,1414,0.248046033,0.433043576
gluconeogenesis,Gene Ontology,GO:0006094,1,68,0.251029503,0.436209722
phagocytic vesicle,Gene Ontology,GO:0045335,1,68,0.251029503,0.436209722
positive regulation of homeostatic process,Gene Ontology,GO:0032846,1,68,0.251029503,0.436209722
muscle organ morphogenesis,Gene Ontology,GO:0048644,1,68,0.251029503,0.436209722
negative regulation of transforming growth factor beta receptor signaling pathway,Gene Ontology,GO:0030512,1,68,0.251029503,0.436209722
leukocyte proliferation,Gene Ontology,GO:0070661,2,229,0.251583981,0.436882362
positive regulation of peptidyl-serine phosphorylation,Gene Ontology,GO:0033138,1,69,0.254160605,0.439653165
regulation of leukocyte chemotaxis,Gene Ontology,GO:0002688,1,69,0.254160605,0.439653165
positive regulation of Rho GTPase activity,Gene Ontology,GO:0032321,1,69,0.254160605,0.439653165
response to lipopolysaccharide,Gene Ontology,GO:0032496,2,231,0.254664941,0.440182448
phosphorus metabolic process,Gene Ontology,GO:0006793,15,2929,0.255950096,0.441967525
cell junction,Gene Ontology,GO:0030054,5,809,0.256080232,0.441967525
multicellular organismal homeostasis,Gene Ontology,GO:0048871,2,232,0.256205696,0.441967525
centrosome organization,Gene Ontology,GO:0051297,1,70,0.257278619,0.442356518
granulocyte chemotaxis,Gene Ontology,GO:0071621,1,70,0.257278619,0.442356518
kidney epithelium development,Gene Ontology,GO:0072073,1,70,0.257278619,0.442356518
positive regulation of lymphocyte differentiation,Gene Ontology,GO:0045621,1,70,0.257278619,0.442356518
embryonic heart tube development,Gene Ontology,GO:0035050,1,70,0.257278619,0.442356518
positive regulation of neuron projection development,Gene Ontology,GO:0010976,1,71,0.2603836,0.445640128
regulation of leukocyte apoptotic process,Gene Ontology,GO:2000106,1,71,0.2603836,0.445640128
regulation of JUN kinase activity,Gene Ontology,GO:0043506,1,71,0.2603836,0.445640128
cytoplasmic transport,Gene Ontology,GO:0016482,5,815,0.260763212,0.445705293
leukocyte activation,Gene Ontology,GO:0045321,4,617,0.262927774,0.448578814
endothelium development,Gene Ontology,GO:0003158,1,72,0.263475602,0.448578814
regulation of fibroblast proliferation,Gene Ontology,GO:0048145,1,72,0.263475602,0.448578814
response to interleukin-1,Gene Ontology,GO:0070555,1,72,0.263475602,0.448578814
hexose biosynthetic process,Gene Ontology,GO:0019319,1,72,0.263475602,0.448578814
protein heterodimerization activity,Gene Ontology,GO:0046982,3,423,0.264121203,0.449384837
stem cell development,Gene Ontology,GO:0048864,2,238,0.265452294,0.451061515
bone remodeling,Gene Ontology,GO:0046849,1,73,0.26655468,0.452051797
actin filament-based movement,Gene Ontology,GO:0030048,1,73,0.26655468,0.452051797
Rho protein signal transduction,Gene Ontology,GO:0007266,1,73,0.26655468,0.452051797
regulation of cellular protein metabolic process,Gene Ontology,GO:0032268,8,1449,0.268287198,0.45410479
negative regulation of cellular process,Gene Ontology,GO:0048523,16,3181,0.269039097,0.455082335
microtubule organizing center organization,Gene Ontology,GO:0031023,1,74,0.269620888,0.455476063
negative regulation of T cell activation,Gene Ontology,GO:0050868,1,74,0.269620888,0.455476063
cellular response to hormone stimulus,Gene Ontology,GO:0032870,3,430,0.271970022,0.458556616
axon extension,Gene Ontology,GO:0048675,1,75,0.272674279,0.458556616
positive regulation of T cell proliferation,Gene Ontology,GO:0042102,1,75,0.272674279,0.458556616
positive regulation of epithelial cell migration,Gene Ontology,GO:0010634,1,75,0.272674279,0.458556616
positive regulation of endocytosis,Gene Ontology,GO:0045807,1,75,0.272674279,0.458556616
neuron projection extension,Gene Ontology,GO:1990138,1,75,0.272674279,0.458556616
cell fate commitment,Gene Ontology,GO:0045165,2,243,0.273157498,0.459073451
positive regulation of leukocyte activation,Gene Ontology,GO:0002696,2,244,0.274698187,0.46047673
response to molecule of bacterial origin,Gene Ontology,GO:0002237,2,244,0.274698187,0.46047673
cell activation,Gene Ontology,GO:0001775,5,833,0.274927028,0.460564533
regulation of receptor activity,Gene Ontology,GO:0010469,1,76,0.275714907,0.460701605
regulation of interferon-gamma production,Gene Ontology,GO:0032649,1,76,0.275714907,0.460701605
response to vitamin,Gene Ontology,GO:0033273,1,76,0.275714907,0.460701605
RNA polymerase II transcription cofactor activity,Gene Ontology,GO:0001104,1,76,0.275714907,0.460701605
multi-organism reproductive process,Gene Ontology,GO:0044703,5,837,0.278096188,0.463493646
single-multicellular organism process,Gene Ontology,GO:0044707,27,5657,0.278573861,0.463935935
regulation of cell cycle process,Gene Ontology,GO:0010564,3,436,0.278717068,0.463935935
positive regulation of secretion,Gene Ontology,GO:0051047,2,248,0.280858917,0.466025734
negative regulation of myeloid cell differentiation,Gene Ontology,GO:0045638,1,78,0.281758087,0.466025734
regulation of cell projection assembly,Gene Ontology,GO:0060491,1,78,0.281758087,0.466025734
monosaccharide biosynthetic process,Gene Ontology,GO:0046364,1,78,0.281758087,0.466025734
glucose catabolic process,Gene Ontology,GO:0006007,1,78,0.281758087,0.466025734
interferon-gamma-mediated signaling pathway,Gene Ontology,GO:0060333,1,78,0.281758087,0.466025734
positive regulation of proteolysis,Gene Ontology,GO:0045862,1,78,0.281758087,0.466025734
neural tube closure,Gene Ontology,GO:0001843,1,78,0.281758087,0.466025734
integral component of plasma membrane,Gene Ontology,GO:0005887,7,1263,0.283993955,0.467731621
protein stabilization,Gene Ontology,GO:0050821,1,79,0.284760746,0.467731621
regulation of tumor necrosis factor production,Gene Ontology,GO:0032680,1,79,0.284760746,0.467731621
tumor necrosis factor production,Gene Ontology,GO:0032640,1,79,0.284760746,0.467731621
tube closure,Gene Ontology,GO:0060606,1,79,0.284760746,0.467731621
acrosomal vesicle,Gene Ontology,GO:0001669,1,79,0.284760746,0.467731621
memory,Gene Ontology,GO:0007613,1,79,0.284760746,0.467731621
odontogenesis of dentin-containing tooth,Gene Ontology,GO:0042475,1,80,0.287750853,0.4714562
neuronal action potential,Gene Ontology,GO:0019228,1,80,0.287750853,0.4714562
reproductive process,Gene Ontology,GO:0022414,6,1059,0.288680646,0.472682865
positive regulation of cell activation,Gene Ontology,GO:0050867,2,254,0.290091194,0.473363247
cerebral cortex development,Gene Ontology,GO:0021987,1,81,0.290728462,0.473363247
phenol-containing compound metabolic process,Gene Ontology,GO:0018958,1,81,0.290728462,0.473363247
regulation of stem cell proliferation,Gene Ontology,GO:0072091,1,81,0.290728462,0.473363247
vesicle lumen,Gene Ontology,GO:0031983,1,81,0.290728462,0.473363247
peripheral nervous system development,Gene Ontology,GO:0007422,1,81,0.290728462,0.473363247
cytoplasmic membrane-bounded vesicle lumen,Gene Ontology,GO:0060205,1,81,0.290728462,0.473363247
negative regulation of inflammatory response,Gene Ontology,GO:0050728,1,81,0.290728462,0.473363247
spindle,Gene Ontology,GO:0005819,2,256,0.293165495,0.476143088
cardiac muscle cell differentiation,Gene Ontology,GO:0055007,1,82,0.293693624,0.47640793
N-acetyltransferase activity,Gene Ontology,GO:0008080,1,82,0.293693624,0.47640793
cellular process involved in reproduction,Gene Ontology,GO:0048610,3,451,0.295646296,0.478386132
regulation of interleukin-6 production,Gene Ontology,GO:0032675,1,83,0.296646393,0.478521066
protein heterooligomerization,Gene Ontology,GO:0051291,1,83,0.296646393,0.478521066
actin filament binding,Gene Ontology,GO:0051015,1,83,0.296646393,0.478521066
primary neural tube formation,Gene Ontology,GO:0014020,1,83,0.296646393,0.478521066
synapse assembly,Gene Ontology,GO:0007416,1,83,0.296646393,0.478521066
G-protein coupled receptor signaling pathway,Gene Ontology,GO:0007186,4,654,0.296982666,0.478767609
neuron part,Gene Ontology,GO:0097458,5,862,0.298057704,0.479907839
developmental process involved in reproduction,Gene Ontology,GO:0003006,3,454,0.299040262,0.480295821
phosphatidylinositol 3-kinase signaling,Gene Ontology,GO:0014065,1,84,0.299586819,0.480295821
long-chain fatty acid metabolic process,Gene Ontology,GO:0001676,1,84,0.299586819,0.480295821
Golgi lumen,Gene Ontology,GO:0005796,1,84,0.299586819,0.480295821
dendrite morphogenesis,Gene Ontology,GO:0048813,1,85,0.302514954,0.483801488
interleukin-6 production,Gene Ontology,GO:0032635,1,85,0.302514954,0.483801488
chondrocyte differentiation,Gene Ontology,GO:0002062,1,85,0.302514954,0.483801488
hematopoietic progenitor cell differentiation,Gene Ontology,GO:0002244,1,85,0.302514954,0.483801488
spinal cord development,Gene Ontology,GO:0021510,1,86,0.305430849,0.485194471
regulation of histone modification,Gene Ontology,GO:0031056,1,86,0.305430849,0.485194471
protein acetyltransferase complex,Gene Ontology,GO:0031248,1,86,0.305430849,0.485194471
regulation of peptidyl-serine phosphorylation,Gene Ontology,GO:0033135,1,86,0.305430849,0.485194471
acetyltransferase complex,Gene Ontology,GO:1902493,1,86,0.305430849,0.485194471
platelet degranulation,Gene Ontology,GO:0002576,1,86,0.305430849,0.485194471
interferon-gamma production,Gene Ontology,GO:0032609,1,86,0.305430849,0.485194471
metanephros development,Gene Ontology,GO:0001656,1,87,0.308334556,0.489211667
lymphocyte differentiation,Gene Ontology,GO:0030098,2,267,0.310035814,0.491313585
regulation of microtubule cytoskeleton organization,Gene Ontology,GO:0070507,1,88,0.311226126,0.492601691
negative regulation of extrinsic apoptotic signaling pathway,Gene Ontology,GO:2001237,1,88,0.311226126,0.492601691
cellular response to reactive oxygen species,Gene Ontology,GO:0034614,1,89,0.314105609,0.495068711
leukocyte apoptotic process,Gene Ontology,GO:0071887,1,89,0.314105609,0.495068711
ovulation cycle process,Gene Ontology,GO:0022602,1,89,0.314105609,0.495068711
spindle organization,Gene Ontology,GO:0007051,1,89,0.314105609,0.495068711
regulation of innate immune response,Gene Ontology,GO:0045088,2,270,0.314623096,0.495574099
intrinsic component of plasma membrane,Gene Ontology,GO:0031226,7,1312,0.315956822,0.49609792
myotube differentiation,Gene Ontology,GO:0014902,1,90,0.316973056,0.49609792
embryonic skeletal system morphogenesis,Gene Ontology,GO:0048704,1,90,0.316973056,0.49609792
positive regulation of chemotaxis,Gene Ontology,GO:0050921,1,90,0.316973056,0.49609792
actin filament bundle organization,Gene Ontology,GO:0061572,1,90,0.316973056,0.49609792
positive regulation of protein processing,Gene Ontology,GO:0010954,1,90,0.316973056,0.49609792
actin filament bundle assembly,Gene Ontology,GO:0051017,1,90,0.316973056,0.49609792
muscle contraction,Gene Ontology,GO:0006936,2,272,0.317677458,0.49648992
anatomical structure homeostasis,Gene Ontology,GO:0060249,2,273,0.319203431,0.497682768
axon,Gene Ontology,GO:0030424,2,273,0.319203431,0.497682768
sex differentiation,Gene Ontology,GO:0007548,2,273,0.319203431,0.497682768
response to estradiol,Gene Ontology,GO:0032355,1,91,0.319828517,0.498221303
integrin binding,Gene Ontology,GO:0005178,1,92,0.322672042,0.501253987
regulation of cell size,Gene Ontology,GO:0008361,1,92,0.322672042,0.501253987
female gonad development,Gene Ontology,GO:0008585,1,92,0.322672042,0.501253987
microtubule-based process,Gene Ontology,GO:0007017,3,475,0.322838296,0.501253987
negative regulation of hydrolase activity,Gene Ontology,GO:0051346,2,276,0.323776275,0.502112939
hexose catabolic process,Gene Ontology,GO:0019320,1,93,0.325503681,0.503594907
negative regulation of cellular response to growth factor stimulus,Gene Ontology,GO:0090288,1,93,0.325503681,0.503594907
positive regulation of protein secretion,Gene Ontology,GO:0050714,1,93,0.325503681,0.503594907
regulation of immune system process,Gene Ontology,GO:0002682,6,1113,0.327572514,0.505560055
alpha-beta T cell activation,Gene Ontology,GO:0046631,1,94,0.328323484,0.505560055
positive regulation of protein catabolic process,Gene Ontology,GO:0045732,1,94,0.328323484,0.505560055
negative regulation of G1/S transition of mitotic cell cycle,Gene Ontology,GO:2000134,1,94,0.328323484,0.505560055
ovulation cycle,Gene Ontology,GO:0042698,1,94,0.328323484,0.505560055
response to hydrogen peroxide,Gene Ontology,GO:0042542,1,94,0.328323484,0.505560055
myelination,Gene Ontology,GO:0042552,1,94,0.328323484,0.505560055
feeding behavior,Gene Ontology,GO:0007631,1,94,0.328323484,0.505560055
acetyltransferase activity,Gene Ontology,GO:0016407,1,95,0.331131501,0.508863488
regulation of transforming growth factor beta receptor signaling pathway,Gene Ontology,GO:0017015,1,95,0.331131501,0.508863488
cellular hormone metabolic process,Gene Ontology,GO:0034754,1,96,0.33392778,0.511173903
neural tube formation,Gene Ontology,GO:0001841,1,96,0.33392778,0.511173903
cellular response to tumor necrosis factor,Gene Ontology,GO:0071356,1,96,0.33392778,0.511173903
regulation of chromatin organization,Gene Ontology,GO:1902275,1,96,0.33392778,0.511173903
regulation of JAK-STAT cascade,Gene Ontology,GO:0046425,1,96,0.33392778,0.511173903
cellular response to cytokine stimulus,Gene Ontology,GO:0071345,3,485,0.334177307,0.511256021
smoothened signaling pathway,Gene Ontology,GO:0007224,1,97,0.33671237,0.513029355
ensheathment of neurons,Gene Ontology,GO:0007272,1,97,0.33671237,0.513029355
axon ensheathment,Gene Ontology,GO:0008366,1,97,0.33671237,0.513029355
N-acyltransferase activity,Gene Ontology,GO:0016410,1,97,0.33671237,0.513029355
epidermis development,Gene Ontology,GO:0008544,2,286,0.33895833,0.515149237
"transferase activity, transferring phosphorus-containing groups",Gene Ontology,GO:0016772,5,913,0.339389863,0.515149237
membrane lipid biosynthetic process,Gene Ontology,GO:0046467,1,98,0.339485321,0.515149237
sperm part,Gene Ontology,GO:0097223,1,98,0.339485321,0.515149237
camera-type eye morphogenesis,Gene Ontology,GO:0048593,1,98,0.339485321,0.515149237
monosaccharide catabolic process,Gene Ontology,GO:0046365,1,98,0.339485321,0.515149237
protein transport,Gene Ontology,GO:0015031,7,1348,0.339828755,0.515370744
regulation of endopeptidase activity,Gene Ontology,GO:0052548,2,287,0.340470921,0.516044775
cellular response to starvation,Gene Ontology,GO:0009267,1,99,0.342246681,0.516337478
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,Gene Ontology,GO:0090101,1,99,0.342246681,0.516337478
regulation of osteoblast differentiation,Gene Ontology,GO:0045667,1,99,0.342246681,0.516337478
neuropeptide signaling pathway,Gene Ontology,GO:0007218,1,99,0.342246681,0.516337478
multicellular organismal reproductive process,Gene Ontology,GO:0048609,4,704,0.343717816,0.518257366
cell cortex part,Gene Ontology,GO:0044448,1,100,0.344996498,0.519585032
transcription factor complex,Gene Ontology,GO:0005667,2,291,0.346510186,0.521563775
cellular response to interferon-gamma,Gene Ontology,GO:0071346,1,101,0.347734821,0.522804081
negative regulation of lymphocyte activation,Gene Ontology,GO:0051250,1,101,0.347734821,0.522804081
response to abiotic stimulus,Gene Ontology,GO:0009628,5,924,0.348372226,0.523460858
multicellular organismal process,Gene Ontology,GO:0032501,27,5886,0.348839203,0.523860944
developmental cell growth,Gene Ontology,GO:0048588,1,102,0.350461698,0.525390599
negative regulation of defense response,Gene Ontology,GO:0031348,1,102,0.350461698,0.525390599
negative regulation of cell adhesion,Gene Ontology,GO:0007162,1,102,0.350461698,0.525390599
DNA replication,Gene Ontology,GO:0006260,2,295,0.352530886,0.527507011
regulation of peptidase activity,Gene Ontology,GO:0052547,2,295,0.352530886,0.527507011
cardiocyte differentiation,Gene Ontology,GO:0035051,1,103,0.353177177,0.527507011
